lat,lon,mag,time,t
-22.0353,-67.4145,4.4,2015-10-01 01:53:34,0.0
-30.7069,-71.4783,4.7,2015-10-01 02:06:22,768.0
18.0,-66.9182,2.8,2015-10-01 02:16:16,1362.0
-30.1461,-72.0068,4.6,2015-10-01 02:25:54,1940.0
-31.9046,-72.2302,4.4,2015-10-01 03:21:37,5283.0
18.3059,-64.1118,3.1,2015-10-01 06:19:33,15959.0
-27.8917,-66.4071,4.1,2015-10-01 08:50:16,25002.0
-31.759,-71.35300000000001,4.0,2015-10-01 09:28:58,27324.0
18.9115,-64.5071,3.1,2015-10-01 11:01:24,32870.0
18.645,-65.4736,2.9,2015-10-01 12:28:42,38108.0
-32.7952,-72.12100000000001,4.5,2015-10-01 14:31:10,45456.0
-32.8092,-72.0761,4.1,2015-10-01 16:47:54,53660.0
9.4757,-84.0688,4.2,2015-10-01 17:51:06,57452.0
15.029000000000002,-60.5546,4.4,2015-10-01 18:29:59,59785.0
-15.7239,-72.0935,4.9,2015-10-01 19:42:47,64153.0
-30.5618,-72.502,4.4,2015-10-01 20:28:33,66899.0
19.2259,-64.7058,2.4,2015-10-01 21:29:43,70569.0
18.0175,-65.3748,4.2,2015-10-02 02:34:34,88860.0
-45.6126,-107.3596,4.8,2015-10-02 04:28:32,95698.0
18.0342,-65.1309,2.8,2015-10-02 06:11:48,101894.0
18.0228,-65.152,2.9,2015-10-02 06:18:08,102274.0
18.8314,-65.6857,2.5,2015-10-02 06:29:55,102981.0
18.0785,-65.3985,2.9,2015-10-02 06:30:55,103041.0
-30.9404,-71.5984,4.5,2015-10-02 07:43:21,107387.0
-31.4233,-72.7889,4.5,2015-10-02 07:54:20,108046.0
18.0394,-65.3981,2.8,2015-10-02 08:03:57,108623.0
18.0412,-65.39699999999999,2.9,2015-10-02 08:12:14,109120.0
-31.8131,-72.8192,4.4,2015-10-02 08:13:01,109167.0
-36.6214,-71.47399999999999,4.6,2015-10-02 08:28:07,110073.0
-30.6825,-71.6204,4.4,2015-10-02 08:40:05,110791.0
18.0279,-65.3916,2.8,2015-10-02 08:52:17,111523.0
19.0252,-66.1771,2.8,2015-10-02 09:15:36,112922.0
18.031,-65.388,3.1,2015-10-02 10:05:24,115910.0
13.2629,-89.1194,4.3,2015-10-02 11:01:27,119273.0
18.4298,-66.2519,3.4,2015-10-02 13:35:04,128490.0
-56.1853,-27.4579,4.4,2015-10-02 14:09:05,130531.0
-32.0201,-71.94800000000001,4.5,2015-10-02 14:48:16,132882.0
-30.5332,-71.358,3.9,2015-10-02 15:04:17,133843.0
-30.579,-71.6,4.9,2015-10-02 16:22:47,138553.0
-31.0024,-72.834,4.9,2015-10-02 16:33:27,139193.0
19.2973,-66.182,3.3,2015-10-02 18:37:51,146657.0
19.3892,-66.1143,3.4,2015-10-02 19:06:31,148377.0
19.5163,-63.8768,3.3,2015-10-02 19:26:13,149559.0
-30.988000000000003,-72.563,4.2,2015-10-02 19:42:49,150555.0
-31.081999999999997,-71.334,4.0,2015-10-02 20:02:40,151746.0
-30.736,-71.35,4.0,2015-10-02 22:23:00,160166.0
-33.798,-71.915,4.3,2015-10-03 00:20:29,167215.0
-30.599,-72.70100000000001,4.2,2015-10-03 01:37:49,171855.0
-32.8147,-72.1442,4.0,2015-10-03 04:26:25,181971.0
-3.3756,-77.6498,4.4,2015-10-03 05:22:52,185358.0
18.0235,-65.3886,2.7,2015-10-03 05:31:26,185872.0
18.5464,-67.4384,2.5,2015-10-03 05:35:53,186139.0
-37.4557,-73.6761,5.8,2015-10-03 06:03:42,187808.0
-30.301,-71.551,5.9,2015-10-03 06:26:55,189201.0
14.2707,-92.9427,4.6,2015-10-03 06:51:15,190661.0
-30.3303,-71.4784,4.3,2015-10-03 07:20:00,192386.0
-32.2357,-72.1225,4.3,2015-10-03 07:42:57,193763.0
11.8584,-43.7352,5.0,2015-10-03 08:23:49,196215.0
-30.3288,-71.4924,4.5,2015-10-03 08:26:56,196402.0
-31.7517,-72.0152,4.0,2015-10-03 09:08:53,198919.0
-5.1172,-79.8908,4.0,2015-10-03 09:20:13,199599.0
18.7842,-64.4263,2.8,2015-10-03 09:33:12,200378.0
-31.7284,-72.2932,4.5,2015-10-03 11:01:46,205692.0
-29.8205,-71.7255,5.1,2015-10-03 11:21:01,206847.0
-31.1812,-71.7663,4.2,2015-10-03 12:12:16,209922.0
-29.8651,-71.6961,4.3,2015-10-03 13:48:10,215676.0
12.5825,-89.1255,4.6,2015-10-03 14:21:07,217653.0
18.7388,-64.2922,2.5,2015-10-03 15:45:57,222743.0
13.6234,-49.4518,4.3,2015-10-03 16:09:32,224158.0
18.4726,-64.3585,2.6,2015-10-03 16:51:17,226663.0
-30.6127,-71.7054,4.0,2015-10-03 18:27:52,232458.0
-30.779,-71.414,4.2,2015-10-03 18:59:37,234363.0
-29.4375,-71.2152,4.4,2015-10-03 19:43:21,236987.0
-38.3206,-74.2029,4.6,2015-10-03 19:53:27,237593.0
-31.6756,-72.9083,3.9,2015-10-03 23:23:31,250197.0
18.7735,-64.3186,2.6,2015-10-04 02:10:13,260199.0
-30.3105,-72.1018,5.5,2015-10-04 03:49:49,266175.0
19.1245,-66.4935,2.8,2015-10-04 04:48:30,269696.0
19.1404,-66.5029,2.4,2015-10-04 04:49:17,269743.0
18.412,-67.6764,2.9,2015-10-04 05:28:08,272074.0
19.1068,-66.4783,2.6,2015-10-04 06:45:44,276730.0
-57.8536,-25.4046,4.5,2015-10-04 07:45:43,280329.0
19.2161,-64.8158,3.0,2015-10-04 07:47:36,280442.0
18.1072,-67.0824,1.8,2015-10-04 08:10:37,281823.0
18.753,-64.3168,2.3,2015-10-04 08:23:28,282594.0
-30.8202,-71.6631,4.1,2015-10-04 09:06:41,285187.0
18.7089,-64.5863,2.4,2015-10-04 09:25:41,286327.0
-30.656,-71.627,5.0,2015-10-04 10:11:56,289102.0
-30.445999999999998,-71.601,4.0,2015-10-04 12:16:36,296582.0
-23.8804,-66.6896,4.3,2015-10-04 13:47:30,302036.0
14.2157,-92.6932,4.3,2015-10-04 13:50:15,302201.0
-16.2684,-72.1052,5.3,2015-10-04 14:50:34,305820.0
-3.7887,-79.9273,4.6,2015-10-04 15:56:40,309786.0
-30.5101,-72.1713,4.4,2015-10-04 16:57:22,313428.0
-30.7106,-71.4883,4.2,2015-10-04 17:58:13,317079.0
-30.2671,-71.7108,4.2,2015-10-04 18:21:53,318499.0
12.7868,-88.2071,4.4,2015-10-04 21:29:02,329728.0
18.1608,-68.5008,3.8,2015-10-04 23:14:55,336081.0
18.1872,-67.6877,3.0,2015-10-05 01:48:00,345266.0
-31.7828,-71.6072,3.9,2015-10-05 02:02:51,346157.0
16.8517,-95.7622,4.0,2015-10-05 02:40:53,348439.0
-31.7308,-71.9781,4.3,2015-10-05 05:04:56,357082.0
-35.5274,-104.2397,4.8,2015-10-05 05:59:02,360328.0
17.9867,-65.4572,2.1,2015-10-05 06:22:49,361755.0
-15.7,-74.03,4.2,2015-10-05 10:00:01,374787.0
19.1802,-64.5077,3.4,2015-10-05 13:25:32,387118.0
-30.3035,-71.5318,5.9,2015-10-05 16:33:26,398392.0
-31.0879,-72.7469,4.6,2015-10-05 17:30:53,401839.0
-24.1512,-67.3024,4.1,2015-10-05 19:51:59,410305.0
17.919,-67.1305,2.6,2015-10-05 21:15:58,415344.0
-32.123000000000005,-71.751,4.2,2015-10-05 21:51:38,417484.0
-32.082,-71.795,4.2,2015-10-05 21:58:16,417882.0
-31.6899,-72.0962,4.2,2015-10-06 02:00:57,432443.0
7.3755,-36.1333,4.6,2015-10-06 03:48:15,438881.0
18.7397,-64.3655,2.2,2015-10-06 04:00:03,439589.0
18.7341,-64.3551,2.9,2015-10-06 04:00:59,439645.0
-30.2554,-72.0994,4.7,2015-10-06 04:51:45,442691.0
18.8976,-65.1682,2.9,2015-10-06 05:03:39,443405.0
18.1217,-67.315,2.4,2015-10-06 05:08:17,443683.0
18.3658,-65.5644,1.8,2015-10-06 05:37:56,445462.0
18.51,-104.571,4.1,2015-10-06 05:39:07,445533.0
11.3695,-87.0252,4.5,2015-10-06 06:02:54,446960.0
-25.21,-70.192,4.3,2015-10-06 06:07:32,447238.0
12.1177,-88.9955,5.1,2015-10-06 09:21:23,458869.0
17.941,-67.1731,2.7,2015-10-06 09:42:14,460120.0
-31.432,-71.4573,4.7,2015-10-06 10:47:33,464039.0
-30.3789,-71.8161,4.1,2015-10-06 12:59:39,471965.0
-30.3927,-71.9603,4.2,2015-10-06 13:09:03,472529.0
-31.6888,-71.9677,4.1,2015-10-06 13:52:35,475141.0
-20.003,-70.9795,4.2,2015-10-06 16:41:32,485278.0
-30.8438,-71.4938,4.7,2015-10-06 22:48:33,507299.0
18.889,-64.2565,2.6,2015-10-07 01:08:26,515692.0
-30.3816,-72.0691,4.2,2015-10-07 02:12:25,519531.0
-3.932,-104.1362,5.4,2015-10-07 02:30:21,520607.0
-4.0507,-104.3905,4.5,2015-10-07 02:49:31,521757.0
-30.8207,-71.4446,4.5,2015-10-07 03:02:10,522516.0
