time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-10-01T01:53:34.720Z,-22.0353,-67.4145,185.07,4.4,mb,,30,1.154,0.88,us,us10003je7,2016-01-04T22:28:33.040Z,"127km NE of San Pedro de Atacama, Chile",earthquake,6.9,5.3,0.054,100,reviewed,us,us
2015-10-01T02:06:22.650Z,-30.7069,-71.4783,38.33,4.7,mb,,83,0.643,0.54,us,us10003je8,2016-01-04T22:28:33.040Z,"29km WSW of Ovalle, Chile",earthquake,4.4,6.5,0.082,45,reviewed,us,us
2015-10-01T02:16:16.700Z,18,-66.9182,104,2.8,Md,3,244.8,0.18145969,0.1,pr,pr15274000,2016-01-04T22:28:33.040Z,"1km N of Fuig, Puerto Rico",earthquake,11.5,1.7,0,3,reviewed,pr,pr
2015-10-01T02:25:54.040Z,-30.1461,-72.0068,14.29,4.6,mwr,,84,0.616,0.81,us,us10003jed,2016-01-04T22:28:34.040Z,"67km WSW of Coquimbo, Chile",earthquake,4.6,3.7,0.047,44,reviewed,us,us
2015-10-01T03:21:37.570Z,-31.9046,-72.2302,14.64,4.4,mwr,,145,1.222,0.79,us,us10003jes,2016-01-04T22:28:34.040Z,"105km WSW of Illapel, Chile",earthquake,4.2,4.1,0.046,46,reviewed,us,us
2015-10-01T06:19:33.600Z,18.3059,-64.1118,39,3.1,Md,6,316.8,0.33147834,0.5,pr,pr15274003,2016-01-04T22:28:35.040Z,"54km ESE of Road Town, British Virgin Islands",earthquake,17.9,15.1,0,5,reviewed,pr,pr
2015-10-01T08:50:16.150Z,-27.8917,-66.4071,143.48,4.1,mb,,79,2.64,1.09,us,us10003jfs,2016-01-04T22:28:35.040Z,"35km SSW of Andalgala, Argentina",earthquake,9.6,9.8,0.198,7,reviewed,us,us
2015-10-01T09:28:58.000Z,-31.759,-71.353,47.8,4,ml,,,,0.82,us,us10003jg7,2016-01-04T22:28:35.040Z,"22km SW of Illapel, Chile",earthquake,6.5,9.8,,,reviewed,guc,guc
2015-10-01T11:01:24.300Z,18.9115,-64.5071,55,3.1,Md,3,262.8,0.24434176,0.17,pr,pr15274001,2016-01-04T22:28:36.040Z,"55km NNE of Road Town, British Virgin Islands",earthquake,3,2.6,0,3,reviewed,pr,pr
2015-10-01T12:28:42.200Z,18.645,-65.4736,69,2.9,Md,7,201.6,0.381784,0.14,pr,pr15274002,2016-01-04T22:28:36.040Z,"39km NE of Luquillo, Puerto Rico",earthquake,2.7,2.2,0,5,reviewed,pr,pr
